journal,attemptId,nodeId,unitKey,plannedPaths,scopePaths,executorId,outcome,changedFiles,tokensTotal,failureReason
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series/g4-series-2/run.events.v2.jsonl,e002e7f9-cd5f-4963-aee9-addb3d208376:attempt:node-domain-category-model-and-totals:api-category-to-3dd722bcc9:1,node-domain-category-model-and-totals:api-category-to-3dd722bcc9,,,4,codex-cli,candidate,4,35751,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-01-T1-A-r1/run.events.v2.jsonl,4374d67b-edcb-4dae-954a-188f9ff6cd0a:attempt:node-expense-categories-095864ac3e:1,node-expense-categories-095864ac3e,,,4,codex-cli,candidate,4,21794,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-02-T2-B-r1/run.events.v2.jsonl,07657d31-c60c-4aaa-971e-8bf77dccee5d:attempt:node-domain-weighted-split-rule-7d0914ba10:1,node-domain-weighted-split-rule-7d0914ba10,,,2,codex-cli,candidate,2,52499,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-03-T1-C-r1/run.events.v2.jsonl,342b6603-c2db-43c3-9a1f-135be923a4bd:attempt:node-api-category-totals-acb3154d4f:1,node-api-category-totals-acb3154d4f,,,3,codex-cli,failed,,,"timeout: The agent hit the hard timeout. Consider a longer per-task timeout or a faster executor for this node.: omputeBalances, computeCategoryTotals, createExpense } from ""../src/domain/expense.js"";"
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-03-T1-C-r1/run.events.v2.jsonl,342b6603-c2db-43c3-9a1f-135be923a4bd:attempt:node-domain-category-model-and-totals-eb9abbf18e:1,node-domain-category-model-and-totals-eb9abbf18e,,,2,codex-cli,candidate,2,49023,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-03-T1-C-r1/run.events.v2.jsonl,342b6603-c2db-43c3-9a1f-135be923a4bd:attempt:node-web-category-breakdown-3988b433c6:1,node-web-category-breakdown-3988b433c6,,,3,codex-cli,candidate,3,55338,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-04-T2-A-r1/run.events.v2.jsonl,5a988cf7-7d3c-4500-b7e7-b28e5410864d:attempt:node-unequal-expense-weights-932a5ab7d3:1,node-unequal-expense-weights-932a5ab7d3,,,2,codex-cli,candidate,2,29546,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-05-T1-B-r1/run.events.v2.jsonl,97ea71fb-0144-4960-aad1-58dcb2c0f9dc:attempt:node-api-category-totals-acb3154d4f:1,node-api-category-totals-acb3154d4f,,,3,codex-cli,candidate,2,37752,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-05-T1-B-r1/run.events.v2.jsonl,97ea71fb-0144-4960-aad1-58dcb2c0f9dc:attempt:node-category-regression-tests-7398f7e8eb:1,node-category-regression-tests-7398f7e8eb,,,1,codex-cli,failed,,24384,Code repair failed: scope_violation: the agent changed files outside the declared scope
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-05-T1-B-r1/run.events.v2.jsonl,97ea71fb-0144-4960-aad1-58dcb2c0f9dc:attempt:node-domain-category-model-and-totals-eb9abbf18e:1,node-domain-category-model-and-totals-eb9abbf18e,,,2,codex-cli,candidate,2,28504,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-05-T1-B-r1/run.events.v2.jsonl,97ea71fb-0144-4960-aad1-58dcb2c0f9dc:attempt:node-web-category-breakdown-3988b433c6:1,node-web-category-breakdown-3988b433c6,,,3,codex-cli,candidate,3,21023,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-06-T2-C-r1/run.events.v2.jsonl,4ec8bca6-009a-4081-846c-7598996eb718:attempt:node-domain-weighted-split-rule-7d0914ba10:1,node-domain-weighted-split-rule-7d0914ba10,,,2,codex-cli,candidate,2,32096,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-07-T2-C-r2/run.events.v2.jsonl,d5608d2c-3c38-4c11-9fe6-c788c2ca95cd:attempt:node-domain-weighted-split-rule-7d0914ba10:1,node-domain-weighted-split-rule-7d0914ba10,,,2,codex-cli,candidate,2,26299,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-08-T1-B-r2/run.events.v2.jsonl,e1795c84-02b1-4306-a568-bc63a3fab764:attempt:node-api-category-totals-acb3154d4f:1,node-api-category-totals-acb3154d4f,,,3,codex-cli,candidate,3,46560,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-08-T1-B-r2/run.events.v2.jsonl,e1795c84-02b1-4306-a568-bc63a3fab764:attempt:node-domain-category-model-and-totals-eb9abbf18e:1,node-domain-category-model-and-totals-eb9abbf18e,,,2,codex-cli,candidate,2,25537,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-08-T1-B-r2/run.events.v2.jsonl,e1795c84-02b1-4306-a568-bc63a3fab764:attempt:node-web-category-breakdown-3988b433c6:1,node-web-category-breakdown-3988b433c6,,,3,codex-cli,candidate,3,29023,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-09-T2-A-r2/run.events.v2.jsonl,d6c79286-ab63-43da-8845-c93fe3d7f6c3:attempt:node-weighted-expense-splits-375d55abd7:1,node-weighted-expense-splits-375d55abd7,,,2,codex-cli,candidate,2,28385,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-10-T1-C-r2/run.events.v2.jsonl,0bb3c00e-bbff-4d27-a732-22a87e5830ed:attempt:node-api-category-totals-acb3154d4f:1,node-api-category-totals-acb3154d4f,,,3,codex-cli,candidate,3,26811,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-10-T1-C-r2/run.events.v2.jsonl,0bb3c00e-bbff-4d27-a732-22a87e5830ed:attempt:node-domain-category-totals-8babefff0f:1,node-domain-category-totals-8babefff0f,,,2,codex-cli,candidate,2,23426,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-10-T1-C-r2/run.events.v2.jsonl,0bb3c00e-bbff-4d27-a732-22a87e5830ed:attempt:node-web-category-breakdown-3988b433c6:1,node-web-category-breakdown-3988b433c6,,,3,codex-cli,candidate,3,46079,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-11-T2-B-r2/run.events.v2.jsonl,652b7b19-9a72-4a03-a0f3-a9e9eac3f340:attempt:node-domain-weighted-split-rule-7d0914ba10:1,node-domain-weighted-split-rule-7d0914ba10,,,2,codex-cli,candidate,2,28270,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/experiment/runs/g5-12-T1-A-r2/run.events.v2.jsonl,e3f92598-2751-4470-b02d-8d4846b75196:attempt:node-add-expense-categories-5c7a9280e5:1,node-add-expense-categories-5c7a9280e5,,,4,codex-cli,candidate,4,24898,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/runs/W1/run.events.v2.jsonl,dbd343bd-3f65-4a51-90e0-742b5806c789:attempt:node-w1-layout-inventory-deterministic-96909c8659:1,node-w1-layout-inventory-deterministic-96909c8659,,,8,codex-cli,candidate,9,57668,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-10/runs/W1/run.events.v2.jsonl,9cf4852f-d707-46ee-84e4-7487c9040c5a:attempt:node-w1-layout-inventory-deterministic-96909c8659:1,node-w1-layout-inventory-deterministic-96909c8659,,,14,claude-code-cli,failed,,,executor_error: The agent exited non-zero without a recognizable cause; inspect the stderr tail in the trace.: You've hit your session limit · resets 2pm (America/Buenos_Aires): You've hit your sessio
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-12/runs/W1/run.events.v2.jsonl,fe075453-0a6a-4cb3-98a2-4c09624a255f:attempt:node-w1-layout-inventory-core-da059e5915:1,node-w1-layout-inventory-core-da059e5915,,,11,claude-code-cli,candidate,12,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-12/runs/W2/run.events.v2.jsonl,69d2e719-150c-4dc3-a4bc-a65fac202e48:attempt:node-w2-control-tower-visual-aa57971080:1,node-w2-control-tower-visual-aa57971080,,,17,codex-cli,failed,,,git worktree add --detach C:\Users\franc\Documents\Proyectos\warehouse-control-tower-pilot-12\.manyhands\worktree-pool\1ef32c5c37a6\slot-000 71f61c9efa222103ca2fb2f67692434ab493d75c failed in C:\Users
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-14/runs/W2/run.events.v2.jsonl,1543736b-7644-4455-9a44-648e94acd03f:attempt:node-w2-control-tower-visual-aa57971080:1,node-w2-control-tower-visual-aa57971080,w2-control-tower-visual,7,19,codex-cli,failed,,,worktree_pool_unavailable: could not remove invalid slot slot-000
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-15/runs/W2/run.events.v2.jsonl,6bd9c507-3e61-45d9-b3ee-a284632688b8:attempt:node-w2-control-tower-visual-aa57971080:1,node-w2-control-tower-visual-aa57971080,w2-control-tower-visual,6,17,codex-cli,candidate,17,111314,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-16/runs/W2/run.events.v2.jsonl,86f88e35-b3c3-455e-8973-2f92e073e387:attempt:node-w2-control-tower-visual-aa57971080:1,node-w2-control-tower-visual-aa57971080,w2-control-tower-visual,0,18,codex-cli,failed,,132844,"timeout: The agent hit the hard timeout. Consider a longer per-task timeout or a faster executor for this node.:  { status: ""empty"", label: STATUS_LABELS.empty, description: ""Sin unidades registradas"""
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-2/runs/W1/run.events.v2.jsonl,2d0ef7fe-5f3c-4e33-b8e8-4484b916f98c:attempt:node-w1-root-5fd4cf03a5:1,node-w1-root-5fd4cf03a5,,,11,codex-cli,candidate,12,85363,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-7/runs/W1/run.events.v2.jsonl,50db1be4-0c16-4ed4-88d4-31d71e25ed58:attempt:node-w1-layout-inventario-deterministic-02d5faaf2d:1,node-w1-layout-inventario-deterministic-02d5faaf2d,,,14,claude-code-cli,failed,,,executor_error: The agent exited non-zero without a recognizable cause; inspect the stderr tail in the trace.: You've hit your session limit · resets 6:50am (America/Buenos_Aires): You've hit your ses
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/pilot/series-8/runs/W1/run.events.v2.jsonl,9d0fc2fc-c1bd-4778-b64c-5960b14cec82:attempt:node-w1-layout-inventory-12f6ace439:1,node-w1-layout-inventory-12f6ace439,,,15,claude-code-cli,failed,,,timeout: The agent hit the hard timeout. Consider a longer per-task timeout or a faster executor for this node.
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/pilot/runs/warehouse-wide-n04/run.events.v2.jsonl,1ac4af47-aa2c-493d-a17a-bd80ddb62417:attempt:node-warehouse-projections-16164aa40d:1,node-warehouse-projections-16164aa40d,warehouse-projections,12,18,codex-cli,failed,,,worktree_pool_unavailable: could not remove invalid slot slot-000
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-11/runs/warehouse-wide-n04-executor-stuck/run.events.v2.jsonl,67b52f91-d4d4-4d1f-a1de-4f09cdf80363:attempt:node-warehouse-analytics-root-cdfbb1be16:1,node-warehouse-analytics-root-cdfbb1be16,warehouse-analytics-root,12,20,codex-cli,none,,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-11/runs/warehouse-wide-n08-executor-stuck/run.events.v2.jsonl,4e853223-1fff-47d5-a0f3-e59fdbfb3c76:attempt:node-analytics-contract-59f46b1442:1,node-analytics-contract-59f46b1442,analytics-contract,1,3,codex-cli,none,,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-11/runtime-runs/4e853223-1fff-47d5-a0f3-e59fdbfb3c76.events.v2.jsonl,4e853223-1fff-47d5-a0f3-e59fdbfb3c76:attempt:node-analytics-contract-59f46b1442:1,node-analytics-contract-59f46b1442,analytics-contract,1,3,codex-cli,none,,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-11/runtime-runs/67b52f91-d4d4-4d1f-a1de-4f09cdf80363.events.v2.jsonl,67b52f91-d4d4-4d1f-a1de-4f09cdf80363:attempt:node-warehouse-analytics-root-cdfbb1be16:1,node-warehouse-analytics-root-cdfbb1be16,warehouse-analytics-root,12,20,codex-cli,none,,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-analytics-contract-59f46b1442:1,node-analytics-contract-59f46b1442,analytics-contract,1,2,codex-cli,candidate,1,40917,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-analytics-registry-90acc9b92b:1,node-analytics-registry-90acc9b92b,analytics-registry,2,4,codex-cli,candidate,2,31444,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-projection-01-f0623d58b7:1,node-projection-01-f0623d58b7,projection-01,2,6,codex-cli,candidate,2,23463,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-projection-02-fb723bafaa:1,node-projection-02-fb723bafaa,projection-02,2,6,codex-cli,candidate,2,51533,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-projection-03-6dffa55bed:1,node-projection-03-6dffa55bed,projection-03,2,6,codex-cli,candidate,2,26679,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-projection-04-c3318e4e15:1,node-projection-04-c3318e4e15,projection-04,2,6,codex-cli,candidate,2,25404,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n04/run.events.v2.jsonl,c9b176d0-e46b-4883-92e8-3de4b7c2c96c:attempt:node-study-wide-graph-script-f534020c6f:1,node-study-wide-graph-script-f534020c6f,study-wide-graph-script,2,8,codex-cli,candidate,9,44427,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-analytics-contract-59f46b1442:1,node-analytics-contract-59f46b1442,analytics-contract,1,2,codex-cli,candidate,1,37262,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-analytics-registry-90acc9b92b:1,node-analytics-registry-90acc9b92b,analytics-registry,2,5,codex-cli,candidate,2,35696,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-01-slice-6e49c950ab:1,node-projection-01-slice-6e49c950ab,projection-01-slice,2,5,codex-cli,candidate,2,56128,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-02-slice-766b58e26e:1,node-projection-02-slice-766b58e26e,projection-02-slice,2,5,codex-cli,candidate,2,59745,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-03-slice-9f33e0cba2:1,node-projection-03-slice-9f33e0cba2,projection-03-slice,2,5,codex-cli,candidate,2,27590,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-04-slice-8e8451dd13:1,node-projection-04-slice-8e8451dd13,projection-04-slice,2,5,codex-cli,candidate,2,36871,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-05-slice-e08b87b887:1,node-projection-05-slice-e08b87b887,projection-05-slice,2,5,codex-cli,candidate,2,20418,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-06-slice-c697ca47af:1,node-projection-06-slice-c697ca47af,projection-06-slice,2,5,codex-cli,candidate,2,51045,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-07-slice-2e74d7fd48:1,node-projection-07-slice-2e74d7fd48,projection-07-slice,2,5,codex-cli,candidate,2,26831,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-projection-08-slice-3e22c184f1:1,node-projection-08-slice-3e22c184f1,projection-08-slice,2,5,codex-cli,candidate,2,32512,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-2/runs/warehouse-wide-n08/run.events.v2.jsonl,5507c3b7-7a29-4936-8981-6af76bfb8e7d:attempt:node-study-wide-graph-command-29e4effdb4:1,node-study-wide-graph-command-29e4effdb4,study-wide-graph-command,2,6,codex-cli,candidate,12,37123,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-01-f0623d58b7:1,node-projection-01-f0623d58b7,projection-01,2,6,codex-cli,candidate,2,21418,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-02-fb723bafaa:1,node-projection-02-fb723bafaa,projection-02,2,6,codex-cli,candidate,2,56474,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-03-6dffa55bed:1,node-projection-03-6dffa55bed,projection-03,2,6,codex-cli,candidate,2,28501,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-04-c3318e4e15:1,node-projection-04-c3318e4e15,projection-04,2,6,codex-cli,candidate,2,44391,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-05-406aaf0967:1,node-projection-05-406aaf0967,projection-05,2,6,codex-cli,candidate,2,31947,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-06-4ed0e2362c:1,node-projection-06-4ed0e2362c,projection-06,2,6,codex-cli,candidate,2,26170,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-07-4a358f57f2:1,node-projection-07-4a358f57f2,projection-07,2,6,codex-cli,candidate,2,27454,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-08-360e5fce24:1,node-projection-08-360e5fce24,projection-08,2,6,codex-cli,candidate,2,24800,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-09-6c0a28495c:1,node-projection-09-6c0a28495c,projection-09,2,6,codex-cli,candidate,2,46124,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-10-08bda22ac2:1,node-projection-10-08bda22ac2,projection-10,2,6,codex-cli,candidate,2,25034,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-11-69f9358fec:1,node-projection-11-69f9358fec,projection-11,2,6,codex-cli,candidate,2,51398,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-12-9d775612a6:1,node-projection-12-9d775612a6,projection-12,2,6,codex-cli,candidate,2,33207,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/warehouse/wide-graph/retry-5/runs/warehouse-wide-n16/bc859c1d-7165-4ddf-8472-835eef8788ac.events.v2.jsonl,bc859c1d-7165-4ddf-8472-835eef8788ac:attempt:node-projection-13-c34e3b8f9c:1,node-projection-13-c34e3b8f9c,projection-13,2,6,codex-cli,candidate,2,23126,
